time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-29T15:48:54.877Z,5.5514,124.7931,35,4.8,mb,,105,1.698,1.35,us,us6000fq54,2021-09-30T01:10:24.732Z,"37 km SSW of Lumatil, Philippines",earthquake,4.6,2,0.077,52,reviewed,us,us
2021-09-29T11:54:48.147Z,34.9866,25.1557,10,4.6,mb,,69,0.371,0.82,us,us6000fq3y,2021-09-29T15:17:11.512Z,"2 km S of Pýrgos, Greece",earthquake,5.6,1.9,0.064,72,reviewed,us,us
2021-09-29T11:23:12.588Z,-19.1598,-172.5962,10,4.6,mb,,130,5.279,0.43,us,us6000fq3q,2021-09-29T14:50:09.040Z,"156 km ESE of Neiafu, Tonga",earthquake,7.8,1.8,0.097,32,reviewed,us,us
2021-09-29T08:37:05.768Z,38.8721,135.4642,367.7,6.1,mww,,22,3.18,0.97,us,us6000fq2d,2021-10-01T15:42:25.040Z,"241 km NNW of Nanao, Japan",earthquake,7,5.8,0.053,34,reviewed,us,us
2021-09-29T07:53:59.089Z,-33.1658,-68.1304,30.01,5.3,mb,,41,1.682,0.98,us,us6000fq1z,2021-09-30T02:51:23.630Z,"32 km ESE of San Martín, Argentina",earthquake,3.3,4.4,0.038,236,reviewed,us,us
2021-09-29T07:46:11.950Z,41.1216,73.2692,10,4.6,mb,,60,1.769,1.32,us,us6000fq1w,2021-09-30T06:26:54.040Z,"30 km NE of Jalal-Abad, Kyrgyzstan",earthquake,4.7,1.9,0.122,20,reviewed,us,us
2021-09-29T07:23:41.880Z,-18.3283,-177.8163,517.09,4.8,mb,,70,3.972,0.91,us,us6000fq1r,2021-09-29T07:42:50.040Z,"Fiji region",earthquake,11.5,7.6,0.027,406,reviewed,us,us
2021-09-29T05:36:15.127Z,-59.112,-25.6267,65.22,5.1,mb,,72,7.687,0.62,us,us6000fq0r,2021-09-29T05:55:43.040Z,"South Sandwich Islands region",earthquake,4.5,7.2,0.062,85,reviewed,us,us
2021-09-29T03:23:22.275Z,56.2561,117.5879,10,4.9,mb,,83,7.118,0.67,us,us6000fpzu,2021-10-01T00:19:51.040Z,"76 km SW of Novaya Chara, Russia",earthquake,8.8,1.9,0.038,224,reviewed,us,us
2021-09-29T01:11:58.970Z,-21.5729,170.5708,149.73,4.6,mb,,91,3.076,1.01,us,us6000fpyz,2021-09-29T01:30:04.040Z,"261 km SSE of Isangel, Vanuatu",earthquake,10.1,9,0.107,26,reviewed,us,us
2021-09-29T00:31:26.212Z,-15.8555,166.4728,9.48,5.2,mb,,100,0.812,0.78,us,us6000fpyp,2021-09-29T03:44:51.740Z,"82 km WSW of Luganville, Vanuatu",earthquake,4.9,3.9,0.075,58,reviewed,us,us
2021-09-28T22:43:36.781Z,-59.7008,-26.2701,35,4.6,mb,,173,7.78,0.67,us,us6000fpxu,2021-09-28T23:44:59.040Z,"South Sandwich Islands region",earthquake,15.6,2,0.105,27,reviewed,us,us
2021-09-28T19:41:03.381Z,-22.4306,179.5925,571.93,4.8,mb,,88,4.881,1.01,us,us6000fpvy,2021-09-28T19:59:10.040Z,"south of the Fiji Islands",earthquake,10.9,7.9,0.032,315,reviewed,us,us
2021-09-28T17:27:01.572Z,-24.6204,-178.865,359.28,4.9,mb,,75,4.699,0.99,us,us6000fpur,2021-09-28T17:58:32.040Z,"south of the Fiji Islands",earthquake,10.2,7.5,0.035,262,reviewed,us,us
2021-09-28T16:26:55.156Z,10.4599,139.0246,10,4.9,mww,,74,13.709,0.34,us,us7000ff8l,2021-09-29T13:05:16.117Z,"143 km NE of Colonia, Micronesia",earthquake,11.3,1.9,0.093,11,reviewed,us,us
2021-09-28T15:13:17.443Z,35.2992,25.314,10,4.7,mb,,83,0.347,0.73,us,us7000ff84,2021-09-29T13:46:17.005Z,"3 km S of Káto Goúves, Greece",earthquake,7.4,1.9,0.07,67,reviewed,us,us
2021-09-28T06:25:13.822Z,0.4953,126.449,33.31,5.3,mb,,24,0.957,0.84,us,us7000ff3y,2021-09-28T06:46:04.040Z,"109 km WSW of Ternate, Indonesia",earthquake,6.1,4,0.044,171,reviewed,us,us
2021-09-28T04:48:08.624Z,35.0774,25.213,10,5.3,mww,,43,0.337,0.91,us,us7000ff36,2021-09-30T20:55:53.609Z,"9 km SSW of Arkalochóri, Greece",earthquake,5.6,1.8,0.046,45,reviewed,us,us
2021-09-28T02:27:45.528Z,-23.7231,-67.8208,136.54,4.5,mb,,73,0.835,0.84,us,us7000ff1f,2021-09-30T00:35:04.040Z,"97 km SSE of San Pedro de Atacama, Chile",earthquake,7.5,6.2,0.075,52,reviewed,us,us
2021-09-28T01:44:06.136Z,8.0954,-38.6749,10,4.6,mb,,78,14.105,0.78,us,us7000ff1c,2021-09-29T02:39:29.040Z,"central Mid-Atlantic Ridge",earthquake,8.8,1.9,0.095,33,reviewed,us,us
2021-09-27T21:52:32.428Z,-6.852,-72.7301,10,4.6,mb,,86,0.872,0.62,us,us7000ff01,2021-09-28T20:06:19.169Z,"85 km N of Cruzeiro do Sul, Brazil",earthquake,5,1.9,0.109,25,reviewed,us,us
2021-09-27T21:37:11.511Z,35.2381,25.3162,10,4.7,mb,,61,0.352,0.82,us,us7000fez9,2021-09-27T21:57:55.040Z,"3 km NNW of Kastélli, Greece",earthquake,5.7,1.9,0.052,112,reviewed,us,us
2021-09-27T20:10:02.154Z,35.2448,25.2176,10,4.7,mb,,78,0.271,0.89,us,us7000feyd,2021-09-28T05:04:22.816Z,"4 km ENE of Ano Arhanes, Greece",earthquake,5.9,1.9,0.058,91,reviewed,us,us
2021-09-27T17:56:31.755Z,-24.1912,-67.1409,185.06,4.5,mb,,55,1.558,0.91,us,us7000fexf,2021-09-27T19:30:36.040Z,"83 km W of San Antonio de los Cobres, Argentina",earthquake,9.1,6.8,0.067,68,reviewed,us,us
2021-09-27T11:26:38.097Z,36.6806,141.1992,48.97,4.9,mb,,120,2.409,0.59,us,us7000fetw,2021-09-27T12:36:45.214Z,"41 km ESE of Kitaibaraki, Japan",earthquake,6.2,5.3,0.03,353,reviewed,us,us
2021-09-27T11:02:25.962Z,35.032,25.208,10,4.8,mb,,114,0.364,0.7,us,us7000fetq,2021-09-27T21:48:58.269Z,"5 km ENE of Pýrgos, Greece",earthquake,6,1.9,0.046,146,reviewed,us,us
2021-09-27T07:30:46.246Z,35.3375,25.2595,10,4.5,mwr,,41,0.306,0.79,us,us7000fesr,2021-09-28T06:35:06.826Z,"1 km N of Kokkíni Cháni, Greece",earthquake,4.7,1.4,0.073,18,reviewed,us,us
2021-09-27T06:37:45.052Z,35.1689,25.2732,7.37,4.6,mb,,72,0.335,0.72,us,us7000fesd,2021-09-27T08:18:55.444Z,"2 km SSW of Thrapsanón, Greece",earthquake,5.6,4.9,0.071,59,reviewed,us,us
2021-09-27T06:17:22.319Z,35.2523,25.2595,8.71,6,mww,,36,0.304,0.71,us,us7000fes8,2021-09-30T08:57:19.475Z,"7 km NNW of Thrapsanón, Greece",earthquake,6.5,3.6,0.043,51,reviewed,us,us
2021-09-27T05:40:36.835Z,38.0373,73.2249,10,5.1,mww,,48,1.821,0.41,us,us7000fes1,2021-10-01T16:20:19.446Z,"66 km WSW of Murghob, Tajikistan",earthquake,5.7,1.8,0.08,15,reviewed,us,us
2021-09-26T23:06:07.234Z,-30.058,-177.4004,10,4.6,mb,,108,0.913,0.83,us,us7000feqe,2021-10-02T04:29:31.040Z,"Kermadec Islands, New Zealand",earthquake,6.9,1.8,0.1,30,reviewed,us,us
2021-09-26T22:01:17.454Z,-5.3439,146.626,170.57,4.6,mb,,54,3.361,0.77,us,us7000feq0,2021-09-27T01:23:54.040Z,"93 km E of Madang, Papua New Guinea",earthquake,10.6,7.6,0.052,109,reviewed,us,us
2021-09-26T18:59:00.018Z,10.5114,138.8761,10,4.7,mb,,148,19.71,0.79,us,us7000fep3,2021-09-27T01:06:34.201Z,"137 km NE of Colonia, Micronesia",earthquake,15.2,1.9,0.083,44,reviewed,us,us
2021-09-26T17:40:51.772Z,13.8988,120.7583,109.29,4.5,mb,,72,8.876,0.82,us,us7000fend,2021-09-27T00:59:45.952Z,"5 km SSE of Balayan, Philippines",earthquake,11.3,8.7,0.104,27,reviewed,us,us
2021-09-26T17:12:06.464Z,13.9491,120.4353,89.9,5.7,mww,,25,8.502,1.82,us,us7000fen1,2021-09-28T19:51:01.040Z,"20 km W of Talisay, Philippines",earthquake,8.4,4.3,0.036,73,reviewed,us,us
2021-09-26T17:03:59.621Z,-30.0224,-177.4764,10,4.6,mb,,142,8.297,1.07,us,us7000fenb,2021-09-26T18:00:13.040Z,"Kermadec Islands, New Zealand",earthquake,14.3,1.9,0.116,22,reviewed,us,us
2021-09-26T09:50:13.633Z,-29.9989,-71.3907,35,4.5,mb,,95,0.154,0.74,us,us7000fekp,2021-09-26T16:36:09.581Z,"7 km SW of Coquimbo, Chile",earthquake,3.1,2,0.171,10,reviewed,us,us
2021-09-26T09:32:49.929Z,-2.3204,119.2411,35,4.6,mb,,64,2.627,0.68,us,us7000fekl,2021-09-26T09:50:06.040Z,"56 km NE of Mamuju, Indonesia",earthquake,2.5,2,0.111,24,reviewed,us,us
2021-09-26T08:59:53.410Z,-2.8649,100.0734,35,4.7,mb,,144,3.237,0.45,us,us7000fekg,2021-09-26T09:37:32.040Z,"171 km WSW of Sungai Penuh, Indonesia",earthquake,8,2,0.083,47,reviewed,us,us
2021-09-26T04:23:18.143Z,-58.8183,-25.7817,77.01,5.4,mww,,69,7.457,1.22,us,us7000feij,2021-09-27T04:26:56.728Z,"South Sandwich Islands region",earthquake,11.2,7.1,0.098,10,reviewed,us,us
2021-09-26T04:08:36.877Z,-4.9724,68.3112,10,4.5,mb,,119,4.915,0.68,us,us6000fqgz,2021-10-01T03:36:00.040Z,"Chagos Archipelago region",earthquake,8.1,1.9,0.27,4,reviewed,us,us
2021-09-26T03:07:31.297Z,58.1498,-32.4496,10,4.6,mb,,125,8.484,0.75,us,us7000fei2,2021-09-26T03:31:09.185Z,"Reykjanes Ridge",earthquake,8.1,1.9,0.035,240,reviewed,us,us
2021-09-26T02:24:16.531Z,-58.5812,-25.0079,33.38,4.5,mb,,101,15.942,0.72,us,us6000fqgs,2021-10-01T01:56:27.040Z,"South Sandwich Islands region",earthquake,12.9,5.2,0.145,14,reviewed,us,us
2021-09-26T01:40:30.165Z,-53.4581,23.8248,10,4.7,mb,,112,20.256,0.53,us,us7000fehi,2021-09-26T01:57:26.040Z,"south of Africa",earthquake,15.5,1.9,0.134,17,reviewed,us,us
2021-09-26T00:14:16.844Z,28.0523,56.9981,10,4.5,mb,,102,3.175,0.5,us,us7000fegz,2021-09-26T00:58:29.776Z,"102 km N of Mīnāb, Iran",earthquake,8.5,1.9,0.065,68,reviewed,us,us
2021-09-25T22:21:19.276Z,24.3083,121.7402,46.81,5,mwr,,40,0.188,1.04,us,us7000fegc,2021-09-27T03:56:42.589Z,"39 km NNE of Hualien City, Taiwan",earthquake,4.9,5.7,0.058,29,reviewed,us,us
2021-09-25T19:55:05.763Z,-23.8326,-66.9086,210.98,4.8,mb,,41,1.459,1.29,us,us7000fefe,2021-09-25T20:11:07.040Z,"73 km NW of San Antonio de los Cobres, Argentina",earthquake,8.5,7,0.09,42,reviewed,us,us
2021-09-25T17:01:43.020Z,29.0139,141.8053,34.85,4.6,mb,,117,1.94,0.81,us,us7000feei,2021-09-25T19:55:18.040Z,"Izu Islands, Japan region",earthquake,7.1,5.1,0.062,84,reviewed,us,us
2021-09-25T16:39:44.732Z,10.2307,-69.7101,20.92,4.6,mb,,50,2.676,1.17,us,us7000feed,2021-09-25T23:26:27.093Z,"34 km NNW of Quíbor, Venezuela",earthquake,8,5.6,0.055,98,reviewed,us,us
2021-09-25T15:45:08.164Z,-20.3455,-174.41,10,4.7,mb,,144,6.876,0.94,us,us7000fedy,2021-09-25T17:13:39.040Z,"59 km S of Pangai, Tonga",earthquake,11.9,1.9,0.13,18,reviewed,us,us
2021-09-25T14:30:59.206Z,-20.1391,-174.2489,10,4.8,mb,,159,6.629,0.73,us,us7000feda,2021-09-25T14:51:02.040Z,"37 km SSE of Pangai, Tonga",earthquake,8.5,1.9,0.148,15,reviewed,us,us
2021-09-25T13:46:31.130Z,-26.0635,178.5377,638.39,5.3,mww,,164,8.29,1.06,us,us7000fed1,2021-09-25T15:30:13.043Z,"south of the Fiji Islands",earthquake,15,12.2,0.075,17,reviewed,us,us
2021-09-25T13:42:46.673Z,-30.0364,-177.1369,10,4.8,mb,,199,13.733,0.79,us,us7000fed5,2021-09-25T14:58:47.040Z,"Kermadec Islands, New Zealand",earthquake,14.4,1.7,0.121,22,reviewed,us,us
2021-09-25T13:26:59.065Z,-6.3952,130.0859,149.36,4.5,mb,,100,1.983,0.85,us,us7000fect,2021-09-25T15:07:00.040Z,"Banda Sea",earthquake,9.2,4.7,0.144,14,reviewed,us,us
2021-09-25T05:21:32.785Z,-53.4104,23.5811,10,5.8,mww,,44,20.225,0.59,us,us7000feai,2021-09-28T19:53:43.040Z,"south of Africa",earthquake,11,1.9,0.093,11,reviewed,us,us
2021-09-25T04:41:08.280Z,30.3316,94.775,35.33,5,mb,,81,5.403,0.83,us,us7000feaa,2021-09-25T05:16:10.276Z,"203 km N of Shi Yomi, India",earthquake,9.5,6.9,0.055,109,reviewed,us,us
2021-09-25T03:12:15.122Z,16.8242,-61.1636,40.13,5.1,mb,,29,0.466,0.93,us,us7000fe9z,2021-09-26T01:01:51.224Z,"53 km NE of Anse-Bertrand, Guadeloupe",earthquake,5.7,5.9,0.022,686,reviewed,us,us
2021-09-25T02:56:06.504Z,70.1457,129.7257,10,4.7,mb,,73,1.522,0.79,us,us7000fe9w,2021-09-25T03:33:44.040Z,"175 km S of Tiksi, Russia",earthquake,9.3,1.9,0.045,153,reviewed,us,us
2021-09-24T19:43:06.120Z,22.9267,-107.9445,10,4.5,mb,,170,4.497,0.7,us,us7000fe6r,2021-09-24T23:48:41.680Z,"149 km SW of Empaque Tarriba, Mexico",earthquake,10,1.8,0.043,167,reviewed,us,us
2021-09-24T15:04:14.809Z,8.5857,94.0824,10,5.4,mww,,28,4.382,1.25,us,us7000fe2z,2021-09-30T21:49:14.367Z,"Nicobar Islands, India region",earthquake,6.9,1.7,0.054,33,reviewed,us,us
2021-09-24T11:52:31.401Z,51.1957,-179.0286,39.64,6.1,mww,,52,0.639,0.92,us,us7000fe1w,2021-10-02T12:02:36.750Z,"182 km WSW of Adak, Alaska",earthquake,5.8,4.4,0.044,49,reviewed,us,us
2021-09-24T11:35:16.004Z,2.8614,127.2309,75.64,4.8,mb,,105,2.08,0.68,us,us7000fe1s,2021-09-24T11:52:41.040Z,"152 km NW of Tobelo, Indonesia",earthquake,9.4,8.2,0.068,66,reviewed,us,us
2021-09-24T09:44:23.318Z,12.064,-88.1588,10,4.7,mb,,173,1.277,0.56,us,us7000fe12,2021-09-24T10:21:56.040Z,"107 km SW of Jiquilillo, Nicaragua",earthquake,3.2,2,0.039,195,reviewed,us,us
2021-09-24T07:57:38.968Z,-27.7704,-176.833,26.2,5.1,mb,,76,1.767,0.55,us,us7000fe0p,2021-09-24T08:16:28.040Z,"Kermadec Islands region",earthquake,11.4,5.4,0.079,51,reviewed,us,us
2021-09-24T07:02:30.417Z,51.1938,-179.0569,27.61,5.5,mww,,55,0.391,0.63,us,us7000fe0g,2021-09-25T07:07:28.071Z,"184 km WSW of Adak, Alaska",earthquake,5,3.8,0.046,45,reviewed,us,us
2021-09-24T06:36:16.591Z,2.1098,126.7,33.5,5.3,mww,,79,1.486,0.74,us,us7000fe0b,2021-09-24T07:03:09.034Z,"151 km WNW of Tobelo, Indonesia",earthquake,6.3,1.8,0.089,12,reviewed,us,us
2021-09-24T04:44:15.824Z,38.1509,141.8037,62.51,4.5,mb,,162,2.696,0.51,us,us6000fq5s,2021-09-29T22:36:37.040Z,"53 km SE of Ishinomaki, Japan",earthquake,9.5,10.2,0.27,4,reviewed,us,us
2021-09-24T02:31:27.055Z,-29.9641,-177.1268,10,4.6,mb,,178,0.983,0.43,us,us6000fq5q,2021-09-29T22:24:24.040Z,"Kermadec Islands, New Zealand",earthquake,9.3,1.4,0.206,9,reviewed,us,us
2021-09-24T01:59:55.215Z,15.2573,-93.1335,93.15,4.9,mww,,134,1.399,0.94,us,us7000fdyg,2021-09-24T02:27:54.837Z,"21 km S of La Esperanza (El Zapotal), Mexico",earthquake,4,6.6,0.098,10,reviewed,us,us
2021-09-24T01:50:21.553Z,-57.8692,-23.7701,10,4.6,mb,,86,7.968,0.88,us,us6000fq5t,2021-09-29T22:05:05.040Z,"South Sandwich Islands region",earthquake,7.4,1.9,0.173,12,reviewed,us,us
2021-09-24T00:08:12.059Z,-21.476,-174.3311,10,4.8,mb,,70,7.989,0.97,us,us7000fdxh,2021-10-02T04:13:30.040Z,"66 km ESE of ‘Ohonua, Tonga",earthquake,10.7,1.8,0.058,91,reviewed,us,us
2021-09-23T23:37:23.379Z,-29.8229,-177.0031,10,4.7,mb,,134,0.975,0.66,us,us7000fdxc,2021-10-02T03:55:10.345Z,"Kermadec Islands, New Zealand",earthquake,10.5,1.9,0.104,28,reviewed,us,us
2021-09-23T22:17:45.646Z,12.1814,-87.8393,36.49,4.8,mwr,,108,0.949,0.96,us,us7000fdwr,2021-10-02T03:41:24.040Z,"75 km SW of Jiquilillo, Nicaragua",earthquake,3,7.4,0.075,17,reviewed,us,us
2021-09-23T20:47:34.101Z,-54.4136,-56.9931,10,4.5,mb,,103,2.818,0.87,us,us7000ff7z,2021-09-30T15:30:07.040Z,"Falkland Islands region",earthquake,9,1.9,0.243,5,reviewed,us,us
2021-09-23T20:08:34.986Z,28.0381,105.0375,10,4.6,mb,,48,4.49,0.59,us,us7000fdvz,2021-09-29T21:49:02.040Z,"55 km SE of Xunchang, China",earthquake,7.2,1.8,0.103,28,reviewed,us,us
2021-09-23T18:59:38.663Z,-7.0502,155.7956,97.66,4.8,mb,,67,4.596,0.86,us,us7000fdvl,2021-09-28T19:54:45.040Z,"88 km SSE of Panguna, Papua New Guinea",earthquake,8.8,5.9,0.085,43,reviewed,us,us
2021-09-23T17:05:28.815Z,56.3858,117.6671,10,4.8,mb,,43,6.956,0.79,us,us7000fdup,2021-09-29T17:44:25.040Z,"61 km SW of Novaya Chara, Russia",earthquake,9,1.9,0.045,150,reviewed,us,us
2021-09-23T16:47:48.985Z,23.0032,-107.9359,10,5.7,mwb,,90,4.425,0.75,us,us7000fdty,2021-09-24T17:29:38.635Z,"142 km SW of Empaque Tarriba, Mexico",earthquake,7.8,1.8,0.049,40,reviewed,us,us
2021-09-23T16:47:07.656Z,23.1848,-108.0783,10,5.2,mb,,105,4.329,0.76,us,us7000fdtx,2021-09-24T16:20:26.040Z,"141 km SW of Empaque Tarriba, Mexico",earthquake,7.4,1.8,0.029,398,reviewed,us,us
2021-09-23T16:02:01.527Z,-59.8405,-26.652,36.29,4.9,mb,,55,9.024,0.6,us,us7000fdv9,2021-09-23T18:47:34.040Z,"South Sandwich Islands region",earthquake,9.5,5.2,0.102,33,reviewed,us,us
